Date,Total_New_Active_Cases
2020-05-21,674
2020-09-23,665
2022-06-16,661
2020-06-24,658
2022-06-17,658
2021-03-04,648
2020-09-08,640
2020-07-05,639
2020-06-20,636
2022-07-28,631
2022-06-30,616
2020-09-24,611
2021-05-20,610
2021-01-05,604
2022-08-20,598
2020-12-01,595
2022-08-06,595
2020-08-15,592
2020-07-14,590
2020-09-01,589
2020-06-22,588
2021-01-27,587
2020-10-07,586
2022-01-15,586
2020-09-21,582
2020-08-28,573
2021-03-07,568
2020-05-20,564
2022-06-26,548
2021-05-24,546
2020-08-25,541
2022-08-30,540
2020-07-01,538
2022-06-19,532
2020-12-31,524
2020-10-01,518
2020-11-17,517
2021-03-05,511
2020-06-23,510
2021-05-02,510
2022-06-20,505
2021-04-25,504
2020-07-02,499
2020-06-06,498
2020-10-04,495
2020-06-16,493
2020-06-09,492
2020-06-10,490
2020-08-07,489
2022-01-14,489
2020-06-12,486
2022-07-15,483
2020-05-28,481
2020-09-19,480
2020-08-08,463
2021-05-08,457
2020-06-19,456
2020-11-11,454
2020-11-07,452
2020-05-27,451
2020-06-17,446
2020-05-13,444
2020-11-18,444
2020-11-19,436
2020-06-11,431
2020-08-02,420
2020-07-11,415
2020-07-25,410
2020-09-22,410
2020-06-08,409
2020-08-17,409
2020-06-13,408
2020-05-16,408
2020-05-09,404
2022-01-13,403
2020-05-29,402
2020-10-10,392
2020-10-09,390
2020-10-28,384
2022-06-14,372
2020-05-22,367
2020-05-31,367
2020-09-25,367
2021-05-31,367
2020-06-15,361
2020-08-10,361
2020-05-01,356
2020-04-24,352
2020-05-24,352
2020-07-31,352
2020-07-03,351
2020-08-03,351
2022-01-11,348
2020-06-25,340
2020-10-16,339
2020-12-22,337
2021-06-04,335
2020-07-07,334
2022-01-12,326
2020-04-25,325
2020-07-06,325
2020-04-17,324
2020-05-14,322
2022-01-06,317
2022-01-09,316
2021-05-19,315
2020-05-19,313
2020-09-29,307
2020-04-11,305
2020-06-21,305
2020-04-28,304
2021-06-08,300
2021-05-28,299
2022-01-07,299
2020-05-04,298
2022-01-08,298
2020-04-23,298
2020-06-26,293
2020-10-18,293
2020-06-02,289
2020-10-21,288
2020-04-18,286
2020-05-12,286
2020-05-10,282
2020-04-12,280
2022-06-10,280
2021-01-03,279
2020-08-13,273
2020-04-13,269
2021-05-07,269
2020-04-09,267
2020-04-15,267
2020-12-15,266
2020-07-18,259
2020-05-18,258
2022-06-08,258
2020-04-21,254
2021-02-01,254
2020-04-16,251
2021-04-28,246
2020-05-07,239
2020-05-05,233
2020-11-10,232
2020-12-14,231
2020-04-19,225
2020-05-06,224
2020-04-07,223
2020-05-25,220
2020-08-16,220
2022-01-05,220
2020-06-30,216
2020-05-17,212
2020-10-03,212
2020-05-08,210
2020-04-30,208
2020-12-26,204
2020-07-16,203
2022-01-10,203
2021-03-31,198
2022-06-11,197
2022-06-12,196
2020-08-14,194
2020-04-22,193
2022-06-13,192
2020-04-26,187
2020-05-02,187
2020-09-27,185
2020-08-09,182
2022-06-01,182
2020-04-08,181
2020-07-13,181
2022-06-05,179
2020-04-06,179
2020-06-03,178
2021-04-26,178
2020-08-20,177
2020-04-14,176
2020-05-15,172
2022-01-17,170
2020-10-17,169
2020-06-29,167
2022-06-07,166
2020-04-10,163
2020-04-03,163
2020-08-11,160
2020-04-05,160
2020-10-23,157
2022-08-31,154
2020-05-26,153
2020-04-27,148
2022-01-03,148
2020-11-15,146
2022-01-16,142
2022-06-09,139
2020-06-28,137
2020-03-27,133
2021-11-27,133
2022-06-04,131
2022-01-04,128
2020-11-23,126
2022-07-01,125
2020-07-26,124
2020-05-03,124
2020-11-06,121
2021-12-28,118
2020-11-05,116
2020-04-20,116
2020-03-29,113
2020-04-29,112
2021-04-30,111
2020-06-01,110
2020-03-30,110
2022-08-19,109
2022-01-01,107
2020-04-01,106
2020-06-05,103
2020-03-25,101
2020-03-24,100
2020-03-31,94
2020-10-06,91
2021-04-06,91
2020-04-02,91
2022-05-31,88
2020-07-21,85
2021-04-22,85
2020-03-28,81
2022-07-08,81
2020-04-04,80
2020-03-26,79
2021-12-17,79
2022-05-25,78
2020-06-04,76
2021-03-19,75
2020-03-19,72
2020-03-21,72
2022-05-13,71
2022-06-06,65
2021-11-25,63
2020-03-23,63
2021-11-24,61
2021-02-22,60
2021-05-06,60
2020-06-14,59
2021-03-18,58
2020-08-06,57
2021-12-25,54
2021-11-26,53
2020-03-20,51
2021-11-17,51
2020-03-22,45
2022-05-24,43
2022-08-16,41
2020-03-18,39
2021-05-01,37
2020-03-17,37
2020-05-11,32
2020-03-13,32
2021-12-11,32
2020-06-07,31
2022-08-13,30
2020-08-04,23
2022-05-28,23
2020-07-15,21
2020-07-20,21
2020-03-15,21
2021-03-27,20
2020-03-14,20
2022-06-03,18
2020-11-22,17
2020-03-16,17
2021-12-24,17
2020-03-09,13
2022-07-25,11
2021-10-31,9
2020-03-10,6
2020-03-11,6
2021-12-18,6
2021-12-19,5
2022-07-03,4
2022-05-21,3
2020-03-02,2
2020-03-06,2
2020-03-08,2
2020-05-30,0
2020-07-17,0
2020-07-19,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-27,0
2020-07-28,0
2020-07-30,0
2020-08-01,0
2020-08-05,0
2020-08-12,0
2020-08-18,0
2020-08-19,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-26,0
2020-08-27,0
2020-09-14,0
2020-09-18,0
2020-09-28,0
2020-09-30,0
2020-10-05,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-19,0
2020-10-20,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-08,0
2020-11-09,0
2020-11-16,0
2020-11-30,0
2020-12-27,0
2020-12-28,0
2021-01-02,0
2021-01-04,0
2021-01-18,0
2021-01-25,0
2021-02-02,0
2021-02-04,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-24,0
2021-02-25,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-06,0
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-26,0
2021-03-28,0
2021-03-29,0
2021-03-30,0
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-23,0
2021-04-24,0
2021-04-27,0
2021-04-29,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-09,0
2021-05-10,0
2021-05-11,0
2021-05-12,0
2021-05-13,0
2021-05-14,0
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,0
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-07-21,0
2021-07-25,0
2021-07-26,0
2021-07-27,0
2021-07-29,0
2021-07-30,0
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-04,0
2021-08-05,0
2021-08-06,0
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,0
2021-08-11,0
2021-08-12,0
2021-08-13,0
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,0
2021-08-18,0
2021-08-19,0
2021-08-20,0
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,0
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,0
2021-09-01,0
2021-09-02,0
2021-09-03,0
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,0
2021-09-08,0
2021-09-09,0
2021-09-10,0
2021-09-11,0
2021-09-12,0
2021-09-13,0
2021-09-14,0
2021-09-15,0
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-09,0
2021-11-11,0
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-16,0
2021-12-07,0
2021-12-08,0
2022-02-21,0
2022-02-25,0
2022-02-27,0
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,0
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,0
2022-03-26,0
2022-03-27,0
2022-03-28,0
2022-03-29,0
2022-03-30,0
2022-03-31,0
2022-04-01,0
2022-04-02,0
2022-04-03,0
2022-04-04,0
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,0
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,0
2022-04-20,0
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-04-30,0
2022-05-01,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-09,0
2022-05-10,0
2022-05-17,0
2022-05-18,0
2022-08-08,0
2022-08-14,0
2022-08-15,0
2022-08-18,0
2022-08-22,0
2022-08-23,0
2022-08-24,0
2022-08-25,0
2022-08-26,0
2022-08-29,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,0
2022-09-10,0
2022-09-12,0
2022-09-13,0
2022-09-14,0
2022-09-15,0
2022-09-16,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-07,0
2020-03-12,0
2021-11-28,0
2022-01-02,0
2022-05-29,0
2021-12-26,0
2022-05-20,0
2022-05-22,0
2022-05-26,0
2021-12-05,0
2021-11-19,0
2021-11-22,0
2021-12-04,0
2021-12-10,0
2022-05-14,0
2022-05-15,0
2022-07-02,0
2021-12-31,0
2022-05-16,0
2022-06-02,0
2021-12-12,0
2021-12-30,0
2022-07-11,0
2022-08-28,0
2021-12-03,0
2021-12-23,0
2021-12-27,0
2022-05-11,0
2021-11-23,0
2021-12-06,0
2021-12-09,0
2021-12-15,0
2022-05-27,0
2022-06-27,0
2022-07-04,0
2021-12-01,0
2021-12-02,0
2021-12-16,0
2021-12-22,0
2021-12-29,0
2022-05-08,0
2022-07-31,0
2021-11-07,0
2021-11-15,0
2021-11-18,0
2021-11-21,0
2021-11-29,0
2021-11-30,0
2021-12-20,0
2021-12-21,0
2022-08-01,0
2021-11-08,0
2021-12-13,0
2021-12-14,0
2022-05-19,0
2022-05-23,0
2022-05-30,0
2022-08-05,0
2022-08-21,0
2022-09-08,0
2022-09-09,0
2022-08-07,0
2022-09-11,0
2021-11-10,0
2021-11-20,0
2022-05-02,0
2022-05-07,0
2022-05-12,0
2022-08-04,0
